ind_0,proxy_conf_0,pred_prob_0,ind1,proxy_conf_1,pred_prob_1
"4,0,7,2,13,1,35,2,15,0,2,45",0.676,0,"4,0,7,2,13,2,35,2,15,0,2,45",0.6,0
"2,0,6,1,8,5,0,58,5,23,11,52",0.809,1,"2,0,6,1,8,0,0,58,5,23,11,52",0.852,1
"1,1,4,6,3,5,29,49,1,14,10,90",0.918,1,"1,1,4,6,11,5,29,49,1,14,10,90",0.916,1
"8,0,5,0,3,3,31,73,6,30,18,43",0.889,1,"8,0,5,0,3,4,31,73,6,30,18,43",0.888,1
"6,0,3,5,2,0,20,58,12,19,29,10",0.615,1,"6,0,3,5,2,0,20,58,12,33,29,10",0.64,1
"7,1,7,3,5,4,36,17,11,28,36,79",0.627,1,"7,1,7,2,5,4,36,17,11,28,36,79",0.635,1
"0,0,5,6,3,4,23,8,9,11,29,51",0.485,0,"0,0,5,6,3,4,23,8,10,11,29,51",0.518,0
"8,1,1,0,5,2,41,48,14,27,27,52",0.735,1,"9,1,1,0,5,2,41,48,14,27,27,52",0.74,1
"1,1,1,4,5,0,31,49,14,33,36,23",0.687,1,"1,1,1,4,5,0,31,49,14,33,36,73",0.643,1
"5,0,7,4,1,1,36,5,1,18,41,70",0.185,1,"5,0,0,4,1,1,36,5,1,18,41,70",0.182,1
"5,0,3,0,8,1,24,10,7,35,20,99",0.634,1,"5,0,3,0,8,1,24,10,2,35,20,99",0.545,1
"9,1,3,3,11,5,12,35,11,23,33,17",0.674,1,"9,1,3,3,11,5,12,35,11,23,33,17",0.674,1
"3,0,0,4,4,5,20,35,14,21,13,68",0.828,1,"3,0,0,4,4,5,20,35,1,21,13,68",0.771,1
"4,0,6,5,6,1,2,17,0,2,20,2",0.645,0,"4,0,6,5,6,1,2,17,0,2,20,2",0.645,0
"5,1,5,1,5,4,16,45,10,12,36,7",0.629,1,"5,1,5,1,5,4,16,45,10,12,36,7",0.629,1
"6,1,3,4,5,4,14,65,14,0,8,73",0.874,0,"6,1,3,2,5,4,14,65,14,0,8,73",0.878,0
"9,0,4,6,3,1,1,20,1,18,11,56",0.919,1,"9,0,4,6,3,1,1,20,1,18,38,56",0.826,1
"5,0,3,0,1,4,7,23,7,34,29,40",0.836,1,"5,0,3,0,1,4,7,23,7,34,33,40",0.845,1
"4,0,7,2,5,2,14,57,6,18,14,96",0.876,1,"4,0,7,2,5,2,14,57,6,18,39,96",0.821,1
"3,1,4,2,6,4,17,21,1,15,13,28",0.511,1,"3,1,4,2,6,4,17,21,1,15,13,20",0.505,1
"4,0,5,6,0,5,2,1,3,39,9,37",0.899,1,"4,0,5,6,0,5,2,1,3,39,9,37",0.899,1
"7,0,5,6,4,0,28,19,15,23,28,37",0.625,1,"0,0,5,6,4,0,28,19,15,23,28,37",0.497,1
"6,0,6,3,10,0,30,14,10,34,15,91",0.63,1,"6,0,6,3,10,0,30,35,10,34,15,91",0.826,1
"5,1,0,5,1,3,22,39,8,18,35,27",0.566,1,"5,1,0,5,1,3,22,39,5,18,35,27",0.565,1
"9,0,0,3,9,1,7,71,0,21,15,4",0.595,1,"9,0,0,3,9,1,7,71,0,21,15,51",0.767,1
"2,0,6,5,2,4,40,36,11,18,1,77",0.926,1,"2,0,6,5,2,4,40,36,11,18,1,43",0.916,1
"5,1,1,4,13,5,34,64,8,18,13,95",0.883,1,"5,1,1,4,13,5,32,64,8,18,13,95",0.881,1
"0,0,7,1,5,2,18,46,9,34,28,94",0.896,1,"0,0,7,1,5,2,18,46,9,23,28,94",0.897,1
"8,0,7,5,7,4,35,6,5,4,43,28",0.664,0,"8,0,7,5,7,4,35,6,5,4,8,28",0.778,0
"0,0,1,4,1,5,21,14,15,10,7,41",0.758,0,"0,0,1,2,1,5,21,14,15,10,7,41",0.737,0
"9,0,6,3,8,2,38,26,14,23,2,58",0.91,1,"2,0,6,3,8,2,38,26,14,23,2,58",0.882,1
"8,0,7,3,0,4,8,47,11,12,17,29",0.776,0,"8,0,7,3,0,4,8,69,11,12,17,29",0.608,0
"0,1,0,1,6,4,35,49,0,32,41,33",0.688,1,"0,1,0,1,6,4,35,49,0,32,36,33",0.696,1
"0,1,0,2,11,2,32,30,9,37,23,45",0.604,1,"0,1,1,2,11,2,32,30,9,37,23,45",0.605,1
"3,0,7,4,7,0,12,46,13,37,8,81",0.902,1,"3,0,7,4,7,0,12,46,13,37,4,81",0.907,1
"6,0,5,4,4,2,4,0,0,9,29,5",0.92,1,"6,0,5,4,4,2,4,0,0,9,29,69",0.815,1
"9,0,7,3,10,0,23,62,13,3,19,50",0.85,0,"9,0,7,3,10,0,23,62,5,3,19,50",0.804,0
"6,0,0,5,5,2,19,9,10,41,30,71",0.649,1,"6,0,0,5,13,2,19,9,10,41,30,71",0.622,1
"2,0,5,4,1,1,9,62,1,12,15,94",0.896,1,"2,0,5,4,1,1,9,62,1,12,15,94",0.896,1
"7,0,3,3,2,5,14,70,15,13,41,59",0.687,1,"7,0,3,3,2,5,14,70,15,13,41,59",0.687,1
"4,0,2,5,7,1,37,47,6,30,25,53",0.674,1,"4,0,2,5,7,2,37,47,6,30,25,53",0.668,1
"5,0,3,0,13,2,18,61,7,1,19,24",0.696,0,"5,0,3,0,13,5,18,61,7,1,19,24",0.705,0
"1,1,0,0,0,0,9,12,13,41,13,66",0.852,1,"1,1,0,0,0,3,9,12,13,41,13,66",0.894,1
"8,1,7,0,6,4,25,65,6,2,21,25",0.726,0,"8,1,7,0,6,4,25,65,6,2,21,1",0.762,0
"3,0,4,5,9,3,36,16,2,18,23,90",0.355,1,"3,0,4,5,9,3,36,16,6,18,23,90",0.428,1
"1,0,4,1,7,3,14,57,14,26,22,84",0.908,1,"1,0,4,1,8,3,14,57,14,26,22,84",0.908,1
"6,1,1,1,13,0,17,57,6,40,24,3",0.64,1,"6,1,1,1,13,0,17,39,6,40,24,3",0.638,1
"0,1,6,2,0,1,40,5,7,9,32,81",0.529,1,"0,1,6,2,0,1,40,5,7,32,32,81",0.343,1
"6,0,4,2,12,4,36,72,0,39,20,10",0.635,1,"6,0,4,1,12,4,36,72,0,39,20,10",0.716,1
"2,0,4,4,10,2,35,54,4,26,43,61",0.417,1,"2,0,4,4,10,2,35,54,1,26,43,61",0.347,1
"6,1,4,5,13,4,15,28,3,40,13,10",0.867,1,"6,0,4,5,13,4,15,28,3,40,13,10",0.859,1
"7,1,2,3,10,4,41,59,10,35,43,83",0.648,1,"7,1,2,3,10,4,41,15,10,35,43,83",0.649,1
"1,1,7,1,2,3,5,29,12,36,0,41",0.884,1,"1,0,7,1,2,3,5,29,12,36,0,41",0.858,1
"5,0,4,5,8,1,28,0,7,6,22,91",0.451,1,"5,0,4,5,8,1,28,0,7,24,22,91",0.486,1
"6,1,4,1,12,5,29,56,15,8,35,60",0.829,1,"6,0,4,1,12,5,29,56,15,8,35,60",0.711,1
"9,0,7,0,9,4,36,3,15,12,37,34",0.767,1,"9,0,7,0,9,4,36,3,15,35,37,34",0.788,1
"9,0,7,3,2,1,27,30,8,40,14,86",0.835,1,"9,0,7,3,2,1,30,30,8,40,14,86",0.827,1
"3,1,3,5,7,5,29,74,5,25,27,25",0.616,1,"3,1,3,5,7,5,29,74,5,25,27,25",0.616,1
"7,1,7,5,0,4,1,56,11,15,28,22",0.577,1,"7,1,7,4,0,4,1,56,11,15,28,22",0.568,1
"7,1,1,3,5,2,3,29,4,19,12,5",0.879,1,"7,1,1,3,5,2,36,29,4,19,12,5",0.884,1
"2,0,6,5,13,0,39,30,7,2,31,32",0.393,0,"2,0,6,5,13,0,12,30,7,2,31,32",0.382,0
"8,0,0,2,13,5,2,2,3,27,19,22",0.908,1,"8,0,0,2,13,5,2,2,6,27,19,22",0.906,1
"9,0,0,5,11,5,8,65,13,10,15,5",0.678,0,"9,0,0,5,11,5,8,65,9,10,15,5",0.603,0
"6,0,2,5,5,2,9,27,9,25,21,92",0.85,1,"6,0,2,5,5,2,9,27,9,25,29,92",0.84,1
"0,1,7,2,9,5,26,66,11,30,32,72",0.883,1,"0,1,7,2,8,5,26,66,11,30,32,72",0.884,1
"8,0,7,6,13,1,29,59,11,6,1,68",0.891,0,"8,0,7,6,13,4,29,59,11,6,1,68",0.88,0
"7,1,0,6,5,0,26,34,7,0,10,53",0.876,0,"7,1,0,6,5,0,26,34,7,27,10,53",0.892,1
"3,1,2,6,9,0,25,31,0,27,24,41",0.346,1,"3,1,2,6,0,0,25,31,0,27,24,41",0.366,1
"3,1,7,6,3,2,31,70,0,19,43,71",0.582,1,"3,1,7,6,9,2,31,70,0,19,43,71",0.569,1
"9,1,4,3,12,4,22,64,8,32,18,84",0.866,1,"9,1,0,3,12,4,22,64,8,32,18,84",0.87,1
"6,0,1,5,11,2,3,42,14,5,24,76",0.774,1,"6,0,1,5,11,2,3,42,14,5,24,47",0.688,0
"8,1,0,4,11,5,34,6,4,39,19,8",0.822,1,"8,1,0,4,11,3,34,6,4,39,19,8",0.818,1
"9,1,5,6,2,1,17,19,1,23,38,94",0.688,1,"9,1,5,6,2,2,17,19,1,23,38,94",0.77,1
"8,0,1,6,8,0,13,18,6,27,3,6",0.928,1,"8,0,1,6,8,0,13,18,6,18,3,6",0.925,1
"9,0,4,1,0,5,33,18,2,28,34,15",0.579,1,"9,0,4,1,0,1,33,18,2,28,34,15",0.676,1
"5,0,5,5,5,1,5,62,3,24,15,29",0.591,1,"5,0,5,5,5,1,5,62,3,24,15,85",0.87,1
"0,0,0,1,4,0,0,54,4,33,18,21",0.752,1,"0,0,0,1,12,0,0,54,4,33,18,21",0.758,1
"4,1,1,5,4,3,10,4,2,26,2,48",0.759,1,"4,1,1,5,5,3,10,4,2,26,2,48",0.758,1
"1,0,0,0,9,2,38,42,1,2,28,11",0.68,0,"1,0,0,0,9,2,38,42,9,2,28,11",0.764,0
"3,1,6,2,4,0,17,3,2,23,0,78",0.602,1,"3,1,6,2,4,0,17,3,2,23,8,78",0.479,1
"8,1,0,3,8,4,4,43,3,33,6,97",0.926,1,"8,1,0,3,8,4,4,43,3,33,23,97",0.924,1
"1,0,0,1,5,0,13,28,12,0,43,41",0.593,0,"1,0,0,1,5,0,13,23,12,0,43,41",0.587,0
"7,0,5,0,7,3,28,61,7,36,23,96",0.87,1,"7,0,5,0,2,3,28,61,7,36,23,96",0.87,1
"9,0,6,2,12,5,20,67,9,4,38,34",0.652,0,"9,1,6,2,12,5,20,67,9,4,38,34",0.681,0
"2,1,3,6,1,0,15,16,4,20,42,65",0.374,1,"2,1,3,4,1,0,15,16,4,20,42,65",0.396,1
"0,0,0,2,5,2,36,34,9,33,3,4",0.811,1,"2,0,0,2,5,2,36,34,9,33,3,4",0.855,1
"7,1,4,2,3,4,23,44,13,10,35,24",0.717,1,"7,1,4,2,3,4,23,46,13,10,35,24",0.726,1
"4,0,3,0,9,2,20,3,14,13,27,42",0.653,1,"4,0,3,0,9,2,16,3,14,13,27,42",0.73,1
"3,1,1,3,1,5,0,28,15,32,39,45",0.91,1,"3,1,1,3,1,5,35,28,15,32,39,45",0.624,1
"6,1,0,3,0,1,37,12,2,28,35,9",0.572,1,"6,1,0,3,13,1,37,12,2,28,35,9",0.57,1
"1,1,5,3,6,3,32,64,11,19,6,51",0.93,1,"1,1,5,3,0,3,32,64,11,19,6,51",0.93,1
"7,0,4,1,9,0,2,52,12,39,2,67",0.92,1,"7,0,5,1,9,0,2,52,12,39,2,67",0.919,1
"5,1,2,4,6,3,33,31,1,16,33,28",0.543,1,"5,1,2,4,6,3,18,31,1,16,33,28",0.572,1
"9,1,0,0,1,3,28,22,2,1,14,13",0.809,0,"9,1,0,0,1,3,28,22,2,1,14,59",0.721,0
"0,1,3,0,1,0,5,30,11,1,21,68",0.866,1,"0,1,3,0,1,0,5,30,11,1,21,56",0.826,0
"1,0,7,6,6,4,16,7,1,3,37,22",0.325,0,"1,0,7,6,6,4,16,7,1,3,37,40",0.176,0
"2,1,2,0,10,4,36,26,15,32,13,1",0.828,1,"2,1,2,0,10,4,36,26,15,32,13,20",0.797,1
"7,1,7,2,2,2,8,16,12,7,43,24",0.727,1,"7,1,7,2,2,2,8,16,12,9,43,24",0.743,1
"3,1,0,3,11,3,40,16,5,22,29,3",0.553,1,"3,1,0,3,11,3,40,16,5,1,29,3",0.707,0
"1,0,2,3,11,0,39,4,0,14,13,92",0.481,1,"1,0,2,3,11,0,39,4,0,14,43,92",0.217,1
"8,1,6,5,12,2,19,37,0,1,15,76",0.73,0,"9,1,6,5,12,2,19,37,0,1,15,76",0.754,0
"8,0,7,6,13,3,9,13,4,2,19,30",0.758,0,"8,0,7,6,13,1,9,13,4,2,19,30",0.769,0
"4,1,0,0,3,2,28,5,12,10,41,89",0.607,1,"4,1,0,0,3,2,28,5,12,25,41,89",0.778,1
"4,0,5,6,11,4,9,62,4,12,7,54",0.775,1,"4,0,5,6,11,4,9,62,4,12,7,78",0.812,1
"0,0,7,1,4,5,33,56,4,25,22,7",0.768,1,"0,0,7,1,4,5,33,56,4,17,22,7",0.77,0
"7,1,0,4,3,5,21,13,13,19,31,90",0.819,1,"7,1,0,2,3,5,21,13,13,19,31,90",0.865,1
"4,1,1,4,10,1,35,44,1,28,37,38",0.336,1,"4,1,1,5,10,1,35,44,1,28,37,38",0.343,1
"0,1,3,3,6,5,29,69,15,34,5,64",0.931,1,"0,1,3,3,6,5,29,69,15,34,5,94",0.931,1
"2,0,1,5,11,3,17,43,7,33,24,10",0.714,1,"2,0,1,5,11,3,17,43,7,33,24,79",0.701,1
"8,0,7,1,13,1,15,14,3,7,3,99",0.682,0,"7,0,7,1,13,1,15,14,3,7,3,99",0.69,0
"3,0,2,0,5,4,30,14,1,11,35,34",0.474,1,"5,0,2,0,5,4,30,14,1,11,35,34",0.559,1
"6,1,4,3,9,0,37,37,12,40,29,92",0.676,1,"6,1,4,1,9,0,37,37,12,40,29,92",0.685,1
"4,0,3,3,7,3,2,9,3,10,27,89",0.88,1,"4,0,3,3,7,3,11,9,3,10,27,89",0.657,1
"2,0,2,2,7,2,18,46,3,1,18,27",0.639,0,"4,0,2,2,7,2,18,46,3,1,18,27",0.611,0
"8,1,4,4,12,1,23,15,10,3,33,75",0.522,1,"8,1,4,4,12,1,23,15,10,32,33,75",0.594,1
"1,0,6,3,9,1,41,0,8,39,43,16",0.249,1,"1,0,6,3,9,1,41,0,8,39,43,36",0.241,1
"5,1,7,4,13,3,9,17,9,7,16,8",0.74,0,"5,1,2,4,13,3,9,17,9,7,16,8",0.743,0
"3,1,5,4,3,2,8,71,13,5,16,72",0.892,0,"3,0,5,4,3,2,8,71,13,5,16,72",0.868,0
"9,0,5,5,1,0,36,43,5,8,28,61",0.635,1,"9,0,5,5,1,0,36,43,5,13,28,61",0.65,1
"8,0,6,1,6,4,29,61,12,17,11,56",0.888,1,"6,0,6,1,6,4,29,61,12,17,11,56",0.901,1
"2,1,3,1,4,5,21,54,8,30,3,21",0.919,1,"2,1,3,1,4,5,21,65,8,30,3,21",0.924,1
"3,1,7,6,9,4,7,49,11,30,34,13",0.596,1,"3,1,7,6,9,4,7,49,14,30,34,13",0.667,1
"4,1,2,2,8,5,34,57,8,13,13,62",0.916,1,"4,1,2,2,8,5,34,57,8,13,1,62",0.926,1
"3,1,4,1,9,5,36,53,15,39,20,70",0.915,1,"3,1,4,1,9,5,36,53,15,39,20,70",0.915,1
"2,1,4,5,5,5,38,21,10,9,34,47",0.619,1,"2,1,4,5,5,5,38,21,10,29,34,47",0.548,1
"4,0,4,6,6,0,17,52,3,14,34,32",0.603,1,"4,0,4,1,6,0,17,52,3,14,34,32",0.586,1
"9,1,6,3,7,4,6,17,11,4,26,37",0.777,0,"9,1,6,3,7,4,6,17,11,4,26,37",0.777,0
"9,0,4,1,12,4,33,34,11,11,35,74",0.64,1,"9,0,4,1,12,4,33,34,11,11,35,6",0.809,0
"4,0,1,5,11,2,6,5,11,23,28,36",0.744,1,"4,0,1,5,11,2,6,5,11,23,9,36",0.725,1
"8,0,4,3,8,3,11,22,7,35,5,14",0.925,1,"8,0,4,3,8,3,11,20,7,35,5,14",0.924,1
"5,0,7,0,6,5,12,9,7,34,33,15",0.833,1,"5,0,7,0,6,5,20,9,7,34,33,15",0.7,1
"7,0,6,4,10,4,25,67,1,4,37,42",0.553,0,"4,0,6,4,10,4,25,67,1,4,37,42",0.601,0
"7,1,7,5,2,3,31,29,13,40,7,56",0.905,1,"7,1,7,5,2,3,31,29,13,21,7,56",0.903,1
"5,0,6,6,11,4,35,52,7,20,13,68",0.853,1,"5,0,6,6,11,4,35,52,7,20,13,68",0.853,1
"0,1,0,2,6,2,32,41,10,30,15,31",0.856,1,"1,1,0,2,6,2,32,41,10,30,15,31",0.843,1
"5,0,5,1,12,2,25,61,14,7,27,2",0.762,0,"5,0,5,1,12,2,25,61,14,7,27,2",0.762,0
"6,0,4,4,2,5,8,53,10,38,14,28",0.848,1,"6,0,4,4,2,5,8,74,10,38,14,28",0.835,1
"1,1,5,1,3,2,36,44,10,22,40,94",0.788,1,"1,0,5,1,3,2,36,44,10,22,40,94",0.765,1
"6,1,2,0,11,4,14,37,2,21,30,90",0.831,1,"6,1,2,0,11,4,14,54,2,21,30,90",0.787,1
"3,0,1,0,0,3,22,16,6,10,36,1",0.744,1,"3,0,1,0,0,3,22,16,1,10,36,1",0.603,1
"5,0,1,0,2,4,39,44,3,3,19,18",0.777,0,"5,0,1,0,2,4,39,44,3,3,19,88",0.804,0
"5,1,3,0,6,5,35,4,6,39,17,88",0.843,1,"5,1,3,3,6,5,35,4,6,39,17,88",0.676,1
"7,1,6,2,10,3,6,11,1,5,4,43",0.711,0,"7,0,6,2,10,3,6,11,1,5,4,43",0.773,0
"7,0,0,0,10,3,7,52,8,34,16,13",0.899,1,"7,0,0,0,10,0,7,52,8,34,16,13",0.911,1
"9,1,3,2,8,4,31,71,12,10,11,87",0.869,1,"9,1,3,2,8,4,31,11,12,10,11,87",0.626,1
"1,0,6,2,12,5,7,60,3,4,36,36",0.649,0,"1,0,7,2,12,5,7,60,3,4,36,36",0.65,0
"4,0,1,3,2,3,9,14,11,11,10,7",0.755,1,"4,0,1,3,2,3,20,14,11,11,10,7",0.778,0
"3,1,3,3,1,4,27,11,10,23,31,93",0.726,1,"3,1,2,3,1,4,27,11,10,23,31,93",0.729,1
"4,1,1,3,8,2,14,63,13,5,20,34",0.636,0,"7,1,1,3,8,2,14,63,13,5,20,34",0.587,0
"4,0,2,1,7,3,39,56,5,17,30,77",0.775,1,"4,0,3,1,7,3,39,56,5,17,30,77",0.773,1
"8,0,5,1,4,3,20,58,12,12,23,43",0.821,1,"8,0,5,1,4,0,20,58,12,12,23,43",0.789,1
"9,0,7,4,1,1,22,40,1,1,9,31",0.858,0,"9,0,7,4,1,0,22,40,1,1,9,31",0.857,0
"7,0,2,2,7,3,33,28,10,24,26,56",0.584,1,"7,1,2,2,7,3,33,28,10,24,26,56",0.63,1
"7,0,7,3,5,2,5,63,3,36,15,47",0.852,1,"7,0,7,3,5,2,5,63,3,37,15,47",0.857,1
"5,0,2,1,3,2,0,65,10,29,39,66",0.864,1,"5,0,2,1,3,2,0,65,10,29,39,66",0.864,1
"4,0,5,0,7,1,38,61,11,25,6,60",0.928,1,"4,0,5,0,7,1,38,61,11,1,6,60",0.927,0
"7,1,4,6,3,0,36,46,1,38,17,38",0.866,1,"7,1,4,2,3,0,36,46,1,38,17,38",0.719,1
"4,0,5,6,7,3,2,63,11,28,15,64",0.877,1,"4,0,5,6,7,3,2,63,13,28,15,64",0.877,1
"6,1,2,3,13,0,30,44,11,19,13,30",0.907,1,"6,1,2,3,13,0,30,10,11,19,13,30",0.771,1
"0,0,4,1,6,4,2,35,8,11,36,73",0.915,1,"0,0,0,1,6,4,2,35,8,11,36,73",0.916,1
"7,0,5,6,2,0,39,29,10,26,33,45",0.608,1,"7,0,5,6,2,0,39,29,10,26,33,90",0.423,1
"5,0,3,4,2,3,16,28,4,23,28,48",0.608,1,"5,0,3,4,2,3,16,28,4,23,28,77",0.607,1
"3,1,7,3,3,2,11,15,13,39,36,6",0.708,1,"3,1,7,3,3,2,33,15,13,39,36,6",0.599,1
"0,0,3,1,2,2,8,38,12,29,14,25",0.818,1,"0,0,3,1,2,2,8,38,12,29,8,25",0.859,1
"4,1,6,6,1,3,22,36,1,0,26,94",0.528,0,"4,1,6,6,1,3,22,36,1,28,26,94",0.654,1
"9,1,7,2,12,3,23,35,4,20,20,24",0.754,1,"9,1,7,2,12,3,23,35,14,20,20,24",0.907,1
"1,1,4,0,12,2,38,40,0,38,8,41",0.708,1,"1,1,4,0,12,2,38,40,0,38,8,27",0.698,1
"7,0,3,3,5,1,34,43,15,0,32,42",0.657,0,"7,0,3,3,5,1,34,43,15,0,32,42",0.657,0
"7,1,2,5,6,3,41,71,2,27,6,83",0.87,1,"7,1,2,0,6,3,41,71,2,27,6,83",0.904,1
"2,0,1,2,8,4,38,46,13,0,1,92",0.929,0,"2,0,1,2,8,4,38,46,13,0,1,17",0.922,0
"4,0,4,5,2,0,27,15,2,10,5,31",0.766,1,"4,0,3,5,2,0,27,15,2,10,5,31",0.77,1
"4,1,5,4,7,5,37,36,9,8,16,25",0.698,0,"4,1,1,4,7,5,37,36,9,8,16,25",0.699,0
"3,1,0,1,6,5,14,23,8,36,40,28",0.68,1,"3,1,0,1,6,5,14,23,8,31,40,28",0.658,1
"3,0,2,0,1,5,0,48,13,14,37,54",0.897,1,"3,0,2,0,4,5,0,48,13,14,37,54",0.893,1
"6,0,4,0,1,1,0,67,8,2,13,39",0.732,1,"6,0,4,0,1,1,0,30,8,2,13,39",0.87,1
"1,1,0,4,4,2,38,35,7,35,38,69",0.385,1,"1,1,0,4,4,2,38,35,7,35,5,69",0.916,1
"8,0,3,2,7,5,39,72,6,16,7,90",0.843,1,"8,0,3,2,7,5,28,72,6,16,7,90",0.818,1
"4,1,7,6,9,0,35,74,15,36,12,31",0.926,1,"4,1,7,6,9,0,35,74,15,36,35,31",0.637,1
"5,0,4,3,3,0,40,27,5,23,39,74",0.213,1,"5,0,3,3,3,0,40,27,5,23,39,74",0.214,1
"6,0,5,4,9,2,21,63,2,6,35,4",0.553,0,"6,0,5,4,9,2,12,63,2,6,35,4",0.531,0
"8,1,7,4,9,1,37,19,6,30,16,66",0.624,1,"8,1,7,4,9,1,37,19,6,10,16,66",0.546,1
"6,0,0,2,10,3,26,59,15,14,9,76",0.9,1,"6,0,0,2,12,3,26,59,15,14,9,76",0.901,1
"1,1,5,3,11,2,12,10,7,40,24,60",0.53,1,"1,1,5,3,11,2,12,10,8,40,24,60",0.555,1
"0,0,4,1,2,0,29,34,3,40,40,96",0.476,1,"0,0,4,1,10,0,29,34,3,40,40,96",0.467,1
"9,1,5,4,5,0,36,23,3,33,34,86",0.444,1,"9,1,5,2,5,0,36,23,3,33,34,86",0.457,1
"1,1,5,4,9,2,11,35,0,35,12,38",0.52,1,"1,1,5,4,9,2,11,35,0,8,12,38",0.57,0
"8,0,5,5,1,2,1,4,1,4,12,92",0.898,0,"8,0,5,3,1,2,1,4,1,4,12,92",0.897,0
"5,1,2,2,12,1,2,6,6,24,16,69",0.916,1,"5,1,2,2,12,5,2,6,6,24,16,69",0.926,1
"5,1,7,6,0,2,26,34,0,32,4,5",0.895,1,"5,1,1,6,0,2,26,34,0,32,4,5",0.899,1
"3,1,1,5,11,3,37,16,6,34,22,59",0.514,1,"3,1,1,5,11,3,37,16,6,34,22,59",0.514,1
"4,0,0,4,10,1,22,12,6,4,0,78",0.781,0,"4,1,0,4,10,1,22,12,6,4,0,78",0.769,0
"3,1,5,6,0,2,30,22,3,5,18,32",0.567,0,"3,1,5,6,13,2,30,22,3,5,18,32",0.56,0
"5,0,5,4,11,0,13,68,1,11,10,60",0.856,1,"5,0,5,4,11,0,13,68,1,11,10,95",0.869,1
"8,1,7,0,13,3,38,65,3,13,28,28",0.767,1,"8,1,7,0,13,3,38,65,3,13,25,28",0.774,1
"1,0,2,1,7,3,4,12,10,3,24,61",0.918,0,"1,0,2,1,7,3,4,12,10,3,24,61",0.918,0
"5,0,0,2,5,3,12,5,5,18,9,52",0.571,1,"5,0,0,2,2,3,12,5,5,18,9,52",0.579,1
"9,1,4,2,9,1,35,16,4,27,35,17",0.695,1,"9,1,4,2,9,1,35,23,4,27,35,17",0.665,1
