ind_0,proxy_conf_0,pred_prob_0,ind1,proxy_conf_1,pred_prob_1
"0,3,3,4,0,0,5,68,13,8,14,83",0.779,0,"0,3,2,4,0,0,5,68,13,8,14,83",0.78,0
"1,4,7,1,6,4,17,70,11,16,25,48",0.909,1,"1,4,4,1,6,4,17,70,11,16,25,48",0.91,1
"0,0,6,4,5,0,40,25,12,17,8,51",0.761,1,"0,0,6,4,5,0,16,25,12,17,8,51",0.607,1
"1,0,3,1,7,1,9,13,0,2,14,91",0.878,0,"1,0,3,1,7,1,39,13,0,2,14,91",0.881,0
"0,0,6,4,13,5,22,16,11,18,38,79",0.787,1,"0,0,6,4,13,3,22,16,11,18,38,79",0.662,1
"0,2,2,1,13,4,18,57,15,28,5,97",0.95,1,"0,2,2,1,13,4,18,8,15,28,5,97",0.771,1
"0,2,2,5,11,4,3,0,13,10,10,44",0.687,1,"0,2,2,5,11,4,35,0,13,10,10,44",0.834,1
"0,1,2,2,0,3,8,63,8,1,14,23",0.645,0,"0,1,2,2,0,3,8,63,8,1,8,23",0.653,0
"0,2,4,6,4,0,11,14,10,33,36,54",0.257,1,"0,2,4,6,4,0,11,41,10,33,36,54",0.279,1
"0,0,1,3,3,5,13,17,11,41,17,78",0.914,1,"0,0,1,3,3,5,13,17,11,33,17,78",0.906,1
"0,2,0,6,4,0,23,67,6,39,31,18",0.125,1,"0,2,0,6,3,0,23,67,6,39,31,18",0.125,1
"1,3,6,6,10,4,6,57,7,18,3,8",0.336,1,"1,3,6,6,6,4,6,57,7,18,3,8",0.336,1
"0,2,1,5,3,4,30,19,3,21,15,78",0.75,1,"0,2,1,5,3,4,30,19,0,21,15,78",0.792,1
"1,3,7,0,5,5,21,10,6,13,36,21",0.837,1,"1,3,7,4,5,5,21,10,6,13,36,21",0.914,1
"1,1,0,6,12,1,15,1,15,17,24,92",0.339,1,"1,1,0,6,12,1,15,1,15,17,24,92",0.339,1
"0,2,1,0,4,4,5,47,5,13,29,46",0.793,1,"0,2,1,0,4,4,5,47,5,18,29,46",0.787,1
"1,2,1,4,8,2,22,46,6,30,37,1",0.398,1,"1,2,1,4,8,2,22,46,6,34,37,1",0.391,1
"1,4,4,6,0,1,24,31,2,40,25,77",0.757,1,"1,4,4,6,0,1,24,31,2,40,25,77",0.757,1
"1,2,5,5,2,4,31,12,12,32,43,39",0.928,1,"1,2,5,2,2,4,31,12,12,32,43,39",0.889,1
"1,0,1,5,8,1,16,33,12,6,27,13",0.332,0,"1,0,1,5,8,1,7,33,12,6,27,13",0.265,0
"0,4,5,4,13,3,20,51,14,8,40,19",0.58,0,"0,4,5,4,13,3,20,51,14,8,40,21",0.587,0
"0,3,5,0,2,4,39,70,0,19,17,59",0.916,1,"0,3,5,0,2,4,39,40,0,19,17,59",0.932,1
"0,0,5,2,10,3,8,42,8,35,13,6",0.488,1,"0,0,5,0,10,3,8,42,8,35,13,6",0.526,1
"0,0,7,2,10,3,15,31,12,37,36,36",0.641,1,"0,0,7,2,10,3,15,36,12,37,36,36",0.634,1
"1,2,7,0,10,3,15,47,7,7,4,69",0.948,1,"1,2,7,0,10,3,15,47,7,7,43,69",0.868,1
"0,3,4,2,0,5,14,12,2,29,26,98",0.601,1,"0,3,4,2,0,5,14,12,2,29,26,98",0.601,1
"0,0,0,6,11,1,39,65,15,8,27,73",0.773,0,"0,0,0,6,11,1,39,65,15,39,27,73",0.722,1
"0,1,3,5,10,2,14,63,8,36,3,16",0.176,1,"0,1,3,5,10,2,14,63,8,36,43,16",0.337,1
"0,3,6,6,13,5,39,65,3,23,10,27",0.791,1,"0,3,6,6,10,5,39,65,3,23,10,27",0.793,1
"0,0,1,4,7,2,3,34,6,27,2,8",0.084,1,"0,0,7,4,7,2,3,34,6,27,2,8",0.084,1
"0,4,0,2,3,5,35,30,3,34,6,57",0.944,1,"0,4,0,2,3,5,35,30,1,34,6,57",0.945,1
"1,1,0,0,13,4,24,4,2,12,10,2",0.594,1,"0,1,0,0,13,4,24,4,2,12,10,2",0.773,1
"0,0,1,2,4,0,41,36,15,34,35,33",0.65,1,"0,0,1,2,4,0,41,23,15,34,35,33",0.69,1
"0,0,0,5,12,0,28,3,5,33,3,20",0.265,1,"0,0,0,5,12,0,28,3,5,33,3,20",0.265,1
"1,0,2,0,6,4,0,4,0,27,17,74",0.663,1,"1,0,2,0,6,4,0,4,0,27,17,74",0.663,1
"1,3,6,2,6,1,1,68,6,8,36,26",0.444,0,"1,3,6,2,6,3,1,68,6,8,36,26",0.552,1
"0,3,3,1,12,0,24,29,12,35,25,96",0.883,1,"0,3,3,1,12,0,24,29,12,35,16,96",0.907,1
"1,1,5,3,5,0,35,31,4,13,0,26",0.778,1,"1,1,5,3,5,4,35,31,4,13,0,26",0.896,1
"0,2,2,2,5,2,41,70,7,18,0,32",0.705,1,"0,2,2,2,6,2,41,70,7,18,0,32",0.705,1
"0,1,1,4,2,5,31,73,14,8,30,78",0.918,0,"0,1,1,4,2,5,31,56,14,8,30,78",0.922,0
"1,4,5,6,6,0,26,66,15,26,31,91",0.902,1,"1,3,5,6,6,0,26,66,15,26,31,91",0.882,1
"0,3,5,6,10,0,34,60,0,37,29,52",0.506,1,"1,3,5,6,10,0,34,60,0,37,29,52",0.643,1
"1,0,4,0,6,0,39,69,15,41,15,49",0.825,1,"1,0,4,0,6,5,39,69,15,41,15,49",0.913,1
"0,0,5,2,7,0,22,49,6,21,4,67",0.908,1,"0,0,5,2,7,0,22,49,6,21,4,67",0.908,1
"0,2,6,3,12,3,3,39,4,19,11,84",0.893,1,"0,2,6,3,12,3,3,39,4,19,11,84",0.893,1
"0,0,1,0,10,4,32,15,12,13,16,79",0.857,1,"1,0,1,0,10,4,32,15,12,13,16,79",0.831,1
"0,4,1,2,3,4,41,65,1,22,38,60",0.842,1,"0,4,1,2,3,4,41,65,15,22,38,60",0.883,1
"0,2,5,4,0,4,29,27,14,23,18,52",0.909,1,"0,2,5,4,0,4,29,27,14,38,18,52",0.918,1
"1,4,3,5,4,2,27,3,13,31,30,60",0.802,1,"1,4,3,5,10,2,27,3,13,31,30,60",0.796,1
"1,4,0,2,1,3,10,50,12,16,13,24",0.885,1,"1,4,0,2,1,3,10,50,12,16,13,24",0.885,1
"1,1,3,2,8,2,1,66,10,29,37,14",0.401,1,"1,1,3,2,8,2,1,66,10,29,37,14",0.401,1
"0,4,4,5,12,1,18,7,15,26,20,91",0.349,1,"0,4,6,5,12,1,18,7,15,26,20,91",0.347,1
"1,2,5,5,0,2,6,12,14,4,32,60",0.764,1,"0,2,5,5,0,2,6,12,14,4,32,60",0.543,1
"0,4,7,2,1,0,38,60,0,39,37,15",0.619,1,"0,4,7,4,1,0,38,60,0,39,37,15",0.455,1
"0,0,5,5,0,1,19,33,15,16,21,60",0.672,1,"0,0,5,5,0,5,19,33,15,16,21,60",0.917,1
"1,2,6,1,13,4,21,67,7,30,33,41",0.741,1,"1,2,6,1,13,1,21,67,7,30,33,41",0.635,1
"1,0,5,3,3,1,6,3,6,19,39,47",0.876,1,"1,4,5,3,3,1,6,3,6,19,39,47",0.899,1
"1,3,0,4,4,3,32,74,15,9,21,5",0.648,0,"1,3,0,4,4,3,32,47,15,9,21,5",0.78,0
"0,0,5,4,12,4,26,53,7,1,13,83",0.941,0,"0,0,5,4,12,4,26,53,7,1,25,83",0.923,0
"1,1,3,6,9,0,13,64,1,22,12,5",0.27,1,"1,1,3,6,9,0,13,64,1,5,12,5",0.338,0
"1,1,7,1,6,3,31,61,3,10,12,71",0.943,1,"1,1,7,1,6,3,31,61,3,10,12,71",0.943,1
"0,2,3,2,2,5,15,29,6,28,21,1",0.65,1,"0,2,3,2,1,5,15,29,6,28,21,1",0.652,1
"0,1,6,0,4,5,25,0,0,4,8,63",0.922,1,"0,1,6,0,4,4,25,0,0,4,8,63",0.902,1
"0,2,7,4,4,3,28,16,11,8,29,26",0.798,1,"0,2,7,4,4,3,28,16,11,8,29,23",0.781,1
"1,3,5,3,6,5,33,57,9,28,22,68",0.945,1,"1,3,5,3,6,5,33,57,9,13,22,68",0.947,1
"0,3,3,4,10,2,19,32,5,40,1,72",0.933,1,"0,3,3,4,10,2,19,41,5,40,1,72",0.937,1
"0,1,2,3,3,2,31,43,14,11,11,8",0.55,0,"0,1,2,3,3,2,31,43,14,11,15,8",0.57,0
"1,0,1,3,0,4,22,62,14,29,10,45",0.929,1,"1,0,3,3,0,4,22,62,14,29,10,45",0.929,1
"1,1,2,0,10,1,19,8,6,31,34,90",0.597,1,"0,1,2,0,10,1,19,8,6,31,34,90",0.514,1
"0,0,6,1,0,0,21,54,7,19,15,63",0.847,1,"0,0,2,1,0,0,21,54,7,19,15,63",0.852,1
"1,1,5,4,4,3,9,19,9,28,26,59",0.907,1,"1,1,5,4,4,3,9,19,9,28,26,24",0.785,1
"0,2,1,1,4,1,18,47,9,37,39,97",0.873,1,"0,2,1,1,4,1,18,47,9,5,39,97",0.813,1
"1,4,5,1,6,0,17,45,7,27,6,6",0.737,1,"1,4,5,1,6,0,17,45,7,27,6,6",0.737,1
"1,0,5,1,0,4,11,37,14,12,12,24",0.874,1,"1,0,5,1,0,4,11,10,14,12,12,24",0.892,1
"1,2,6,1,9,2,9,36,13,1,30,35",0.808,0,"1,2,6,1,10,2,9,36,13,1,30,35",0.805,0
"1,0,0,6,0,0,23,4,10,9,7,73",0.565,1,"1,0,0,6,0,0,36,4,10,9,7,73",0.637,1
"0,1,3,1,10,3,25,34,10,40,3,43",0.925,1,"0,1,3,1,10,3,25,34,10,40,3,21",0.818,1
"0,0,6,4,4,2,37,64,12,14,23,10",0.424,1,"0,0,6,4,1,2,37,64,12,14,23,10",0.431,1
"1,2,2,0,2,4,21,46,14,11,19,12",0.742,1,"1,2,2,0,2,4,21,46,14,11,19,37",0.912,1
"1,4,2,6,10,3,20,6,7,32,38,53",0.812,1,"1,2,2,6,10,3,20,6,7,32,38,53",0.836,1
"1,2,4,3,9,0,19,36,12,17,43,16",0.548,1,"1,2,4,3,9,0,19,36,12,17,43,16",0.548,1
"1,3,5,3,3,4,9,56,12,14,9,56",0.942,1,"1,3,5,3,3,3,9,56,12,14,9,56",0.936,1
"0,3,3,5,11,1,27,53,6,37,12,56",0.837,1,"0,3,7,5,11,1,27,53,6,37,12,56",0.83,1
"0,3,6,3,4,3,8,30,0,34,36,51",0.723,1,"0,3,6,3,4,3,8,52,0,34,36,51",0.676,1
"1,3,5,0,4,4,31,8,4,2,12,11",0.906,0,"1,3,1,0,4,4,31,8,4,2,12,11",0.908,0
"0,2,3,4,2,5,41,45,6,28,17,62",0.928,1,"0,2,3,4,2,5,41,45,2,28,17,62",0.915,1
"1,3,5,1,13,4,24,56,6,39,8,43",0.939,1,"1,3,5,1,13,4,36,56,6,39,8,43",0.94,1
"0,3,6,4,13,3,32,30,1,7,19,64",0.874,1,"0,1,6,4,13,3,32,30,1,7,19,64",0.847,1
"1,4,1,5,10,5,29,14,7,37,15,42",0.931,1,"1,4,1,5,10,5,29,14,7,37,15,55",0.938,1
"0,0,5,5,8,5,30,14,2,34,37,97",0.512,1,"0,0,5,5,8,5,30,14,2,34,37,97",0.512,1
"1,0,7,4,9,3,20,40,5,7,33,41",0.743,1,"1,4,7,4,9,3,20,40,5,7,33,41",0.843,0
"1,4,4,0,9,2,2,48,15,2,30,73",0.934,1,"1,4,4,0,9,2,2,48,15,2,30,73",0.934,1
"1,3,3,5,8,4,14,56,15,26,18,86",0.946,1,"1,3,3,5,8,4,14,56,7,26,18,86",0.941,1
"0,0,0,4,7,2,26,26,5,1,34,63",0.844,0,"0,0,0,4,0,2,26,26,5,1,34,63",0.857,0
"1,2,7,0,11,5,33,29,7,34,13,26",0.901,1,"1,2,7,0,11,5,33,29,7,34,13,4",0.725,1
"0,3,5,3,4,1,6,39,7,23,41,73",0.782,1,"0,3,5,3,4,1,6,39,7,23,41,26",0.542,1
"1,2,3,0,8,1,38,2,7,2,23,50",0.936,1,"1,2,3,0,8,2,38,2,7,2,23,50",0.931,1
"0,0,6,1,9,0,33,69,15,8,17,83",0.882,0,"0,0,6,1,9,0,33,69,15,8,17,53",0.759,0
"1,0,1,1,4,2,20,67,9,33,41,81",0.748,1,"1,1,1,1,4,2,20,67,9,33,41,81",0.825,1
"1,3,0,2,1,3,7,17,5,33,40,97",0.691,1,"1,3,0,2,1,3,7,17,12,33,40,97",0.71,1
"1,0,3,3,10,3,11,22,9,24,6,74",0.925,1,"1,4,3,3,10,3,11,22,9,24,6,74",0.939,1
"1,3,2,1,12,5,17,32,1,15,15,64",0.943,1,"1,3,2,1,12,5,17,32,11,15,15,64",0.947,1
"1,0,3,0,2,5,40,24,8,33,3,23",0.887,1,"1,0,3,0,2,5,40,24,8,2,3,23",0.937,0
"1,4,0,1,1,5,7,62,14,6,2,31",0.908,0,"1,4,0,1,1,0,7,62,14,6,2,31",0.805,0
"1,1,1,3,13,3,10,2,7,26,3,21",0.793,1,"1,1,1,3,13,3,10,37,7,26,3,21",0.827,1
"1,4,2,0,9,3,35,48,7,9,18,93",0.948,1,"1,2,2,0,9,3,35,48,7,9,18,93",0.945,1
"1,0,7,6,0,0,8,56,4,20,22,79",0.572,1,"1,0,7,6,0,0,28,56,4,20,22,79",0.71,1
"1,2,4,2,10,3,28,42,13,37,37,6",0.614,1,"1,4,4,2,10,3,28,42,13,37,37,6",0.698,1
"1,2,4,4,10,3,40,26,8,22,35,69",0.906,1,"1,2,4,4,10,3,40,26,8,20,35,69",0.907,1
"0,0,0,2,13,2,31,71,8,20,30,71",0.591,1,"0,0,0,2,13,2,31,71,8,20,30,71",0.591,1
"1,2,7,6,0,3,35,22,10,22,42,92",0.681,1,"1,2,7,6,0,0,35,22,10,22,42,92",0.6,1
"1,0,3,1,9,0,7,5,9,26,7,53",0.884,1,"1,0,3,1,9,4,7,5,9,26,7,53",0.918,1
"0,3,0,2,5,4,33,12,10,35,33,95",0.62,1,"0,3,0,2,5,4,33,12,10,35,33,95",0.62,1
"0,2,7,0,3,3,37,7,15,3,21,88",0.805,1,"0,2,7,0,3,3,37,55,15,3,21,88",0.928,0
"1,4,0,5,2,5,26,47,14,0,43,69",0.935,0,"1,4,0,5,2,5,26,47,14,31,43,69",0.938,1
"0,2,7,4,11,2,23,5,0,27,31,35",0.715,1,"0,2,7,4,11,2,4,5,0,27,31,35",0.515,1
"0,0,4,2,12,3,2,36,4,35,42,21",0.464,1,"0,0,4,0,12,3,2,36,4,35,42,21",0.428,1
"0,2,4,6,0,1,22,2,13,20,17,36",0.388,1,"0,2,4,6,0,1,22,2,13,20,17,5",0.209,1
"1,4,7,1,12,0,13,20,3,0,26,84",0.935,0,"1,4,7,1,12,5,13,20,3,0,26,84",0.919,0
"1,2,3,2,6,1,32,53,1,2,26,14",0.632,0,"1,2,3,2,6,4,32,53,1,2,26,14",0.728,0
"0,2,0,0,11,5,39,54,14,11,13,50",0.942,1,"0,2,0,0,11,2,39,54,14,11,13,50",0.907,1
"0,1,3,1,2,3,32,51,5,27,41,62",0.688,1,"0,1,3,1,2,1,32,51,5,27,41,62",0.704,1
"1,2,3,0,5,0,33,5,14,20,23,84",0.855,1,"1,2,3,0,5,0,33,5,14,20,23,84",0.855,1
"0,1,4,3,8,2,22,26,1,22,18,98",0.53,1,"0,1,4,3,8,2,22,26,1,22,18,12",0.314,1
"1,0,7,6,5,1,23,50,8,26,31,58",0.569,1,"1,0,7,6,5,3,23,50,8,26,31,58",0.787,1
"0,2,1,2,11,1,39,62,14,22,3,7",0.621,1,"0,2,1,2,11,1,17,62,14,22,3,7",0.427,1
"1,3,3,2,4,4,14,57,13,19,39,76",0.933,1,"1,3,3,2,4,4,14,57,13,19,39,83",0.938,1
"0,4,1,5,10,5,36,32,2,40,2,44",0.927,1,"0,4,1,5,10,5,36,32,2,40,2,90",0.94,1
"1,4,4,3,0,5,17,40,1,4,19,16",0.907,0,"0,4,4,3,0,5,17,40,1,4,19,16",0.793,0
"1,2,5,0,2,0,3,74,13,14,12,10",0.549,1,"0,2,5,0,2,0,3,74,13,14,12,10",0.611,1
"1,1,0,3,4,1,1,37,6,37,38,91",0.75,1,"1,1,0,3,4,1,1,74,6,37,38,91",0.64,1
"1,2,4,3,3,1,10,62,13,2,21,1",0.409,0,"1,0,4,3,3,1,10,62,13,2,21,1",0.368,0
"0,4,1,5,5,5,23,26,1,13,35,14",0.641,1,"0,4,1,5,5,5,23,28,1,13,35,14",0.628,1
"0,1,4,2,7,3,36,40,3,41,25,56",0.778,1,"0,1,4,2,7,3,36,40,3,29,25,56",0.77,1
"1,3,7,0,3,1,28,15,7,37,23,46",0.922,1,"1,3,7,0,3,1,28,15,7,29,23,46",0.926,1
"1,0,2,5,9,0,6,65,1,10,34,73",0.44,1,"1,0,2,5,9,0,6,65,1,10,34,73",0.44,1
"0,3,4,5,12,5,0,56,6,35,36,5",0.469,1,"0,3,4,5,12,5,0,56,6,35,36,5",0.469,1
"0,1,1,4,5,4,41,41,9,40,32,74",0.89,1,"0,1,1,4,2,4,41,41,9,40,32,74",0.893,1
"0,0,4,1,3,3,36,45,13,4,37,7",0.589,0,"0,0,4,1,3,3,36,45,13,4,37,24",0.62,0
"1,4,7,2,6,3,20,41,2,41,18,83",0.945,1,"1,4,7,2,6,3,20,41,2,41,18,85",0.945,1
"0,0,4,0,12,4,3,58,12,26,37,17",0.436,1,"0,0,4,0,7,4,3,58,12,26,37,17",0.447,1
"1,0,4,3,1,2,17,34,12,31,14,90",0.925,1,"1,0,4,3,1,2,17,34,12,31,14,33",0.885,1
"0,3,0,0,2,0,5,26,7,15,21,4",0.637,1,"0,3,0,0,2,0,5,26,7,15,41,4",0.629,1
"1,3,1,1,8,5,32,49,12,26,28,16",0.823,1,"1,3,1,1,8,5,32,49,12,26,26,16",0.846,1
"1,0,5,4,4,1,14,8,8,32,13,22",0.471,1,"1,0,2,4,4,1,14,8,8,32,13,22",0.477,1
"1,0,3,3,8,4,14,18,12,28,0,4",0.607,1,"1,0,3,3,8,2,14,18,12,28,0,4",0.313,1
"1,3,3,4,3,4,37,32,9,8,42,51",0.912,1,"0,3,3,4,3,4,37,32,9,8,42,51",0.827,1
"0,4,2,5,8,3,30,12,10,21,31,91",0.511,1,"0,4,2,5,8,1,30,12,10,21,31,91",0.394,1
"1,0,6,2,3,4,12,16,5,8,8,56",0.935,1,"1,0,6,2,3,4,19,16,5,8,8,56",0.933,1
"0,1,4,5,4,4,20,51,4,18,12,4",0.304,1,"0,1,4,1,4,4,20,51,4,18,12,4",0.629,1
"0,3,1,6,11,5,29,51,6,32,30,96",0.914,1,"0,3,6,6,11,5,29,51,6,32,30,96",0.912,1
"1,4,3,5,3,1,10,16,7,22,15,74",0.708,1,"1,4,3,5,3,5,10,16,7,22,15,74",0.853,1
"1,2,7,6,13,0,15,11,10,19,27,89",0.377,1,"1,2,3,6,13,0,15,11,10,19,27,89",0.387,1
"1,3,5,3,1,0,14,30,14,5,33,7",0.482,0,"1,3,5,3,1,0,14,30,13,5,33,7",0.472,0
"0,2,4,2,13,4,35,48,8,18,10,24",0.806,1,"0,2,4,2,13,4,18,48,8,18,10,24",0.801,1
"1,2,0,2,11,0,21,12,0,0,18,58",0.942,0,"1,2,0,1,11,0,21,12,0,0,18,58",0.944,0
"0,4,0,3,10,2,10,50,12,16,17,40",0.699,1,"0,4,0,3,10,2,10,50,12,16,17,7",0.456,1
"0,2,5,2,12,0,7,45,8,34,37,47",0.627,1,"0,2,5,2,12,0,7,39,8,34,37,47",0.655,1
"0,2,2,5,11,3,4,18,12,29,17,17",0.274,1,"0,4,2,5,11,3,4,18,12,29,17,17",0.297,1
"1,2,1,5,7,5,34,72,9,18,28,61",0.932,1,"1,2,1,0,7,5,34,72,9,18,28,61",0.927,1
"1,4,3,6,8,2,31,73,4,23,21,52",0.734,1,"1,4,3,6,8,2,31,73,4,23,21,52",0.734,1
"1,4,7,1,11,3,11,29,12,23,1,11",0.824,1,"1,4,7,1,11,5,11,29,12,23,1,11",0.907,1
"0,4,2,5,9,3,16,29,9,5,21,81",0.784,0,"0,4,5,5,9,3,16,29,9,5,21,81",0.776,0
"1,4,2,2,2,3,28,3,1,6,9,25",0.93,0,"1,4,2,2,2,3,28,3,1,6,9,72",0.933,1
"1,0,6,4,7,5,5,53,15,33,22,45",0.92,1,"1,0,6,4,7,5,5,53,15,33,11,45",0.93,1
"0,4,4,4,9,4,38,45,4,14,36,75",0.897,1,"0,4,4,4,9,4,38,45,4,17,36,75",0.89,1
"0,4,7,1,10,2,41,16,6,11,7,18",0.885,1,"0,4,7,1,10,4,41,16,6,11,7,18",0.919,0
"1,3,2,5,3,0,21,30,10,0,0,3",0.159,0,"1,3,2,5,3,0,21,30,10,0,0,91",0.936,0
"0,2,7,4,8,5,7,35,12,19,41,41",0.748,1,"0,2,6,4,8,5,7,35,12,19,41,41",0.75,1
"0,4,3,1,5,3,31,3,5,36,15,98",0.631,1,"0,4,4,1,5,3,31,3,5,36,15,98",0.625,1
